universeKey,shortCode,name,status,score,grade,provenanceSelected,provenanceBacked,regionEligibility,regionEvidence,sectorEligibility,sectorEvidence,dividendEligibility,dividendEvidence
289040,289040,KODEX MSCI KOREA ESG유니버설,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
289250,289250,TIGER MSCI KOREA ESG유니버설,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
289260,289260,TIGER MSCI KOREA ESG리더스,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
289480,289480,TIGER 200커버드콜,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
289670,289670,PLUS 국채선물10년,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
290080,290080,RISE 200고배당커버드콜ATM,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
290130,290130,RISE ESG사회책임투자,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
291130,291130,ACE MSCI멕시코(합성),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
291620,291620,KIWOOM 코스닥150선물인버스,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
291630,291630,KIWOOM 코스닥150선물레버리지,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
291680,291680,RISE 차이나H선물인버스(H),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
291890,291890,KODEX MSCI EM선물(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
292050,292050,RISE KRX300,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
292150,292150,TIGER 코리아TOP10,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
292160,292160,TIGER KRX300,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
292190,292190,KODEX KRX300,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
292500,292500,SOL KRX300,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
292560,292560,TIGER 일본엔선물,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
292770,292770,KODEX 국채선물3년인버스,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
293180,293180,HANARO 200,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
294400,294400,KIWOOM 200TR,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
295000,295000,RISE 국채선물10년,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
295020,295020,RISE 국채선물10년인버스,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
295040,295040,SOL 200TR,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
298340,298340,PLUS 국채선물3년,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
298770,298770,KODEX 한국대만IT프리미어,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
300610,300610,TIGER K게임,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
300640,300640,RISE 게임테마,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
300950,300950,KODEX 게임산업,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
301400,301400,PLUS 코스닥150,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
302190,302190,TIGER 중장기국채,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
302450,302450,RISE 코스피,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
