etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
465350,RISE 2차전지TOP10인버스(합성),krx_numeric,KB자산운용,iSelect 2차전지 TOP10 지수(PR),enriched,61,B,medium,low,low,medium,high,0,4,false,구성종목|산업·국가 비중
465580,ACE 미국빅테크TOP7 Plus,krx_numeric,한국투자신탁운용,Solactive US Big Tech Top 7 Plus Price Return Index,enriched,35,C,medium,low,low,medium,none,0,3,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),krx_numeric,한국투자신탁운용,Solactive US Big Tech Top 7 Plus Price Return Index,thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
465620,ACE 미국빅테크TOP7 Plus인버스(합성),krx_numeric,한국투자신탁운용,Solactive US Big Tech Top 7 Plus Price Return Index,thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
465660,TIGER 일본반도체FACTSET,krx_numeric,미래에셋자산운용,FactSet Japan Semiconductor Index(PR),enriched,68,B,medium,low,medium,medium,low,39,3,false,산업·국가 비중|실제 분배금 이력
465670,TIGER 미국캐시카우100,krx_numeric,미래에셋자산운용,Global X U.S. Cash Flow Kings 100 Index(PR),enriched,68,B,medium,low,medium,medium,low,101,3,false,산업·국가 비중|실제 분배금 이력
465780,마이티 26-09 특수채(AAA)액티브,krx_numeric,DB자산운용,KAP 26-09 특수채 지수(총수익),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
466810,BNK 2차전지양극재,krx_numeric,BNK자산운용,iSelect 2차전지양극재 지수,enriched,40,C,low,low,medium,low,none,10,4,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
466920,SOL 조선TOP3플러스,krx_numeric,신한자산운용,FnGuide 조선TOP3플러스지수(PR),enriched,68,B,medium,low,medium,medium,low,10,4,true,산업·국가 비중|실제 분배금 이력
466930,SOL 자동차TOP3플러스,krx_numeric,신한자산운용,FnGuide 자동차TOP3플러스지수(PR),enriched,68,B,medium,low,medium,medium,low,10,4,true,산업·국가 비중|실제 분배금 이력
466940,TIGER 은행고배당플러스TOP10,krx_numeric,미래에셋자산운용,FnGuide 은행고배당플러스TOP10 지수(시장가격 지수),enriched,68,B,medium,low,medium,medium,low,11,5,true,산업·국가 비중|실제 분배금 이력
466950,TIGER 글로벌AI액티브,krx_numeric,미래에셋자산운용,Indxx Artificial Intelligence and Big Data 지수(PR),enriched,68,B,medium,low,medium,medium,low,39,3,false,산업·국가 비중|실제 분배금 이력
468370,KODEX iShares미국인플레이션국채액티브,krx_numeric,삼성자산운용,ICE U.S. Treasury Inflation Linked Bond Index(Total Return),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
468380,KODEX iShares미국하이일드액티브,krx_numeric,삼성자산운용,ICE BofAML US HY Constrained Index(Total Return),thin,25,D,low,low,low,low,none,0,3,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
468630,KODEX iShares미국투자등급회사채액티브,krx_numeric,삼성자산운용,iBoxx USD Liquid Investment Grade Index(Total Return),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
469050,RISE 미국반도체NYSE(H),krx_numeric,KB자산운용,NYSE Semicondoctor Index(Price Return),enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
469060,RISE 미국반도체NYSE,krx_numeric,KB자산운용,NYSE Semicondoctor Index(Price Return),enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
469070,RISE AI&로봇,krx_numeric,KB자산운용,iSelect AI&로봇 지수(시장가격),enriched,76,A,medium,low,medium,medium,high,10,4,true,산업·국가 비중
469150,ACE AI반도체TOP3+,krx_numeric,한국투자신탁운용,FnGuide AI반도체 TOP3+ 지수,enriched,50,C,medium,low,medium,medium,none,10,4,true,산업·국가 비중|분배 일정|실제 분배금 이력
469160,ACE 일본반도체,krx_numeric,한국투자신탁운용,Bloomberg Japan Semiconductor Select Top 25 Index(Price Return),enriched,35,C,medium,low,low,medium,none,0,3,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
469170,ACE 포스코그룹포커스,krx_numeric,한국투자신탁운용,FnGuide 포스코그룹포커스 지수(시장가격),enriched,50,C,medium,low,medium,medium,none,10,3,true,산업·국가 비중|분배 일정|실제 분배금 이력
469530,RISE 미국달러선물인버스,krx_numeric,KB자산운용,미국달러선물지수,enriched,53,C,medium,low,low,medium,low,0,4,false,구성종목|산업·국가 비중|실제 분배금 이력
469790,KIWOOM 코리아테크TOP10,krx_numeric,키움투자자산운용,Solactive K-TechTOP10 Index(PR),enriched,40,C,low,low,medium,low,none,10,5,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
469830,SOL 초단기채권액티브,krx_numeric,신한자산운용,KAP 단기자금시장지수,enriched,53,C,medium,low,low,medium,low,0,4,false,구성종목|산업·국가 비중|실제 분배금 이력
470310,UNICORN 생성형AI강소기업액티브,krx_numeric,현대자산운용,iSelect AI 지수,enriched,40,C,low,low,medium,low,none,10,4,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
471040,KoAct 글로벌AI&로봇액티브,krx_numeric,삼성액티브자산운용,iSelect 글로벌AI&로봇PR지수,enriched,53,C,medium,low,low,medium,low,0,3,false,구성종목|산업·국가 비중|실제 분배금 이력
471230,KODEX 국고채10년액티브,krx_numeric,삼성자산운용,KAP 국고채 10년 지수(TR),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
471460,KIWOOM 국고채30년액티브,krx_numeric,키움투자자산운용,KIS-키움 국고채30년 지수(총수익지수),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
471760,TIGER AI반도체핵심공정,krx_numeric,미래에셋자산운용,iSelect AI반도체핵심공정지수,enriched,68,B,medium,low,medium,medium,low,19,4,true,산업·국가 비중|실제 분배금 이력
471780,TIGER 코리아테크액티브,krx_numeric,미래에셋자산운용,KRX 정보기술,enriched,68,B,medium,low,medium,medium,low,21,4,true,산업·국가 비중|실제 분배금 이력
471990,KODEX AI반도체핵심장비,krx_numeric,삼성자산운용,iSelect AI 반도체핵심장비 지수,enriched,40,C,low,low,medium,low,none,10,4,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
472150,TIGER 배당커버드콜액티브,krx_numeric,미래에셋자산운용,코스피 200 커버드콜 5% OTM,enriched,68,B,medium,low,medium,medium,low,92,5,true,산업·국가 비중|실제 분배금 이력
472160,TIGER 미국테크TOP10 INDXX(H),krx_numeric,미래에셋자산운용,Indxx US Tech Top 10 Index,enriched,68,B,medium,low,medium,medium,low,13,3,false,산업·국가 비중|실제 분배금 이력
472170,TIGER 미국테크TOP10채권혼합,krx_numeric,미래에셋자산운용,FnGuide 미국테크TOP10 채권혼합지수,enriched,68,B,medium,low,medium,medium,low,17,3,false,산업·국가 비중|실제 분배금 이력
472720,TRUSTON 주주가치액티브,krx_numeric,트러스톤자산운용,코스피 200,enriched,40,C,low,low,medium,low,none,10,4,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
472830,RISE 미국30년국채커버드콜(합성),krx_numeric,KB자산운용,Bloomberg U.S. Treasury 20+ Year (TLT) 2% OTM Covered Call Index(TR),enriched,61,B,medium,low,low,medium,high,0,5,false,구성종목|산업·국가 비중
472840,IBK 200,krx_numeric,IBK자산운용,코스피 200,enriched,50,C,medium,low,medium,medium,none,10,4,true,산업·국가 비중|분배 일정|실제 분배금 이력
472870,RISE 미국30년국채엔화노출(합성 H),krx_numeric,KB자산운용,KIS 미국채30년 엔화노출 지수(USD/JPY 헤지)(총수익지수),enriched,61,B,medium,low,low,medium,high,0,4,false,구성종목|산업·국가 비중
472920,HK 종합채권(AA-이상)액티브,krx_numeric,흥국자산운용,KAP 종합채권 AA- 이상 지수(총수익),enriched,35,C,medium,low,low,medium,none,0,4,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
473290,KODEX 26-12 회사채(AA-이상)액티브,krx_numeric,삼성자산운용,KAP 26-12 회사채 총수익 지수(AA-이상),thin,25,D,low,low,low,low,none,0,5,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
473330,SOL 미국30년국채커버드콜(합성),krx_numeric,신한자산운용,KEDI 미국 국채 20년+ 커버드콜 지수(NTR),enriched,53,C,medium,low,low,medium,low,0,5,false,구성종목|산업·국가 비중|실제 분배금 이력
473440,ACE 11월만기자동연장회사채AA-이상액티브,krx_numeric,한국투자신탁운용,KIS 11월 만기자동연장회사채(AA-이상) 총수익지수,enriched,35,C,medium,low,low,medium,none,0,4,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
